"Issue Id","Parent Id","Issue Type","Summary","Description","Acceptance Criteria","Status","Priority","Labels"
"67","61","Sub-task","US-04-BE.6: Write pytest unit tests for getEvent query","Write pytest unit tests for getEvent query","","To Do","High","events detail backend mvp"
"68","","Story","[FE] Save/Unsave Events","As a user, I want to save events so I can reference them later.

This ticket covers the frontend implementation of saving and unsaving events, including UI state management, persistence via API, and access to saved events list.","- User can save an event (tap save icon/button)
- User can unsave a previously saved event
- Save state visually indicated on event cards
- Saved state persists across app sessions
- User can view list of all saved events
- Loading state during save/unsave action","To Do","High","events save mvp"
"69","68","Sub-task","US-05.1: Add save icon/button to EventCard component","Add save icon/button to EventCard component","","To Do","High","events save mvp"
"70","68","Sub-task","US-05.2: Add save icon/button to EventDetail screen","Add save icon/button to EventDetail screen","","To Do","High","events save mvp"
"71","68","Sub-task","US-05.3: Create SAVE_EVENT and UNSAVE_EVENT mutations","Create SAVE_EVENT and UNSAVE_EVENT mutations","","To Do","High","events save mvp"
"72","68","Sub-task","US-05.4: Create useSaveEvent hook with optimistic updates","Create useSaveEvent hook with optimistic updates","","To Do","High","events save mvp"
"73","68","Sub-task","US-05.5: Create SavedEvents screen (screens/Events/SavedEvents.tsx)","Create SavedEvents screen (screens/Events/SavedEvents.tsx)","","To Do","High","events save mvp"
"74","68","Sub-task","US-05.6: Add SavedEvents route to navigation","Add SavedEvents route to navigation","","To Do","High","events save mvp"
"75","68","Sub-task","US-05.7: Create GET_SAVED_EVENTS query","Create GET_SAVED_EVENTS query","","To Do","High","events save mvp"
"76","68","Sub-task","US-05.8: Update Apollo cache on save/unsave","Update Apollo cache on save/unsave","","To Do","High","events save mvp"
"77","68","Sub-task","US-05.9: Write unit tests for save functionality","Write unit tests for save functionality","","To Do","High","events save mvp"
"78","","Story","[BE] Save Events API","As a backend service, I need to provide API endpoints for saving and unsaving events so that users can bookmark events for later reference.

This ticket covers the backend implementation of the SavedEvent model and GraphQL mutations/queries for managing saved events.","- SavedEvent model links User to Event
- saveEvent mutation adds event to user's saved list
- unsaveEvent mutation removes event from saved list
- getSavedEvents query returns user's saved events
- Duplicate save attempts handled gracefully
- All endpoints require authentication","To Do","High","events save backend mvp"
"79","78","Sub-task","US-05-BE.1: Create SavedEvent model (user FK, event FK, saved_at)","Create SavedEvent model (user FK, event FK, saved_at)","","To Do","High","events save backend mvp"
"80","78","Sub-task","US-05-BE.2: Create and run migrations","Create and run migrations","","To Do","High","events save backend mvp"
"81","78","Sub-task","US-05-BE.3: Add unique constraint (user + event)","Add unique constraint (user + event)","","To Do","High","events save backend mvp"
"82","78","Sub-task","US-05-BE.4: Create saveEvent mutation","Create saveEvent mutation","","To Do","High","events save backend mvp"
"83","78","Sub-task","US-05-BE.5: Create unsaveEvent mutation","Create unsaveEvent mutation","","To Do","High","events save backend mvp"
"84","78","Sub-task","US-05-BE.6: Create getSavedEvents query","Create getSavedEvents query","","To Do","High","events save backend mvp"
"85","78","Sub-task","US-05-BE.7: Add is_saved field to Event type (computed for current user)","Add is_saved field to Event type (computed for current user)","","To Do","High","events save backend mvp"
"86","78","Sub-task","US-05-BE.8: Write pytest unit tests","Write pytest unit tests","","To Do","High","events save backend mvp"
"87","","Story","[FE] View Saved Events List","As a user, I want to see my saved events so I can plan with them.

This ticket covers the frontend implementation of the Saved Events list view, building on the save functionality from US-05.","- Saved events list displays all user's saved events
- Empty state shown when no saved events
- Each saved event card is tappable
- Tapping navigates to EventDetail
- Pull-to-refresh updates the list
- Loading state during fetch","To Do","Medium","events saved mvp"
"88","87","Sub-task","US-06.1: Implement SavedEvents list UI with EventCard components","Implement SavedEvents list UI with EventCard components","","To Do","Medium","events saved mvp"
"89","87","Sub-task","US-06.2: Implement empty state with helpful message/CTA","Implement empty state with helpful message/CTA","","To Do","Medium","events saved mvp"
"90","87","Sub-task","US-06.3: Wire up navigation from saved EventCard to EventDetail","Wire up navigation from saved EventCard to EventDetail","","To Do","Medium","events saved mvp"
"91","87","Sub-task","US-06.4: Implement pull-to-refresh functionality","Implement pull-to-refresh functionality","","To Do","Medium","events saved mvp"
"92","87","Sub-task","US-06.5: Add loading skeleton/spinner","Add loading skeleton/spinner","","To Do","Medium","events saved mvp"
"93","87","Sub-task","US-06.6: Handle error state with retry option","Handle error state with retry option","","To Do","Medium","events saved mvp"
"94","87","Sub-task","US-06.7: Add saved events count indicator (optional)","Add saved events count indicator (optional)","","To Do","Medium","events saved mvp"
"95","87","Sub-task","US-06.8: Write unit tests for SavedEvents screen","Write unit tests for SavedEvents screen","","To Do","Medium","events saved mvp"
"96","","Story","[BE] Saved Events Query Enhancements","As a backend service, I need to provide an optimized query for fetching saved events with full event details for display.

This ticket covers backend enhancements to the getSavedEvents query, ensuring it returns complete event data and handles edge cases.","- getSavedEvents returns full Event objects with all fields
- Deleted/inactive events filtered out automatically
- Results ordered by saved_at (most recent first)
- Pagination supported for large lists
- Query performance optimized (no N+1)","To Do","Medium","events saved backend mvp"
"97","96","Sub-task","US-06-BE.1: Optimize getSavedEvents to return full Event objects","Optimize getSavedEvents to return full Event objects","","To Do","Medium","events saved backend mvp"
"98","96","Sub-task","US-06-BE.2: Filter out deleted/inactive events from results","Filter out deleted/inactive events from results","","To Do","Medium","events saved backend mvp"
"99","96","Sub-task","US-06-BE.3: Add ordering by saved_at descending","Add ordering by saved_at descending","","To Do","Medium","events saved backend mvp"
"100","96","Sub-task","US-06-BE.4: Add pagination support (limit/offset or cursor)","Add pagination support (limit/offset or cursor)","","To Do","Medium","events saved backend mvp"
"101","96","Sub-task","US-06-BE.5: Optimize query to prevent N+1 (select_related/prefetch)","Optimize query to prevent N+1 (select_related/prefetch)","","To Do","Medium","events saved backend mvp"
"102","96","Sub-task","US-06-BE.6: Add total count field to response","Add total count field to response","","To Do","Medium","events saved backend mvp"
"103","96","Sub-task","US-06-BE.7: Write pytest tests for edge cases","Write pytest tests for edge cases","","To Do","Medium","events saved backend mvp"
"104","","Story","[FE] Create Itinerary","As a user, I want to create a travel itinerary so that I can organize my plans.

This ticket covers the frontend implementation of itinerary creation, allowing users to create named itineraries with date ranges to organize their travel plans.","- User can create a new itinerary
- Itinerary form captures: title (required), start date, end date, description (optional)
- Form validation for required fields and date logic (end >= start)
- Created itinerary is stored via API
- User can view list of their itineraries
- Loading state during creation","To Do","High","itinerary planning mvp"
"105","104","Sub-task","US-07.1: Define Itinerary type/interface in graphql/types.ts","Define Itinerary type/interface in graphql/types.ts","","To Do","High","itinerary planning mvp"
"106","104","Sub-task","US-07.2: Create CREATE_ITINERARY mutation","Create CREATE_ITINERARY mutation","","To Do","High","itinerary planning mvp"
"107","104","Sub-task","US-07.3: Create GET_ITINERARIES query","Create GET_ITINERARIES query","","To Do","High","itinerary planning mvp"
"108","104","Sub-task","US-07.4: Generate types with graphql-codegen","Generate types with graphql-codegen","","To Do","High","itinerary planning mvp"
"109","104","Sub-task","US-07.5: Create useItineraries and useCreateItinerary hooks","Create useItineraries and useCreateItinerary hooks","","To Do","High","itinerary planning mvp"
"110","104","Sub-task","US-07.6: Create CreateItinerary form/modal component","Create CreateItinerary form/modal component","","To Do","High","itinerary planning mvp"
"111","104","Sub-task","US-07.7: Create ItineraryList screen (screens/Itineraries/ItineraryList.tsx)","Create ItineraryList screen (screens/Itineraries/ItineraryList.tsx)","","To Do","High","itinerary planning mvp"
"112","104","Sub-task","US-07.8: Add Itineraries routes to navigation","Add Itineraries routes to navigation","","To Do","High","itinerary planning mvp"
"113","104","Sub-task","US-07.9: Implement date picker for start/end dates","Implement date picker for start/end dates","","To Do","High","itinerary planning mvp"
"114","104","Sub-task","US-07.10: Add form validation (title required, date logic)","Add form validation (title required, date logic)","","To Do","High","itinerary planning mvp"
"115","104","Sub-task","US-07.11: Write unit tests","Write unit tests","","To Do","High","itinerary planning mvp"
"116","","Story","[BE] Create Itinerary API","As a backend service, I need to provide API endpoints for creating and fetching itineraries so that users can organize their travel plans.","- Itinerary model created with required fields
- createItinerary mutation creates new itinerary for user
- getItineraries query returns user's itineraries
- Validation: title required, date logic
- All endpoints require authentication
- Response includes full itinerary data","To Do","High","itinerary planning backend mvp"
"117","116","Sub-task","US-07-BE.1: Create Itinerary model in apps/core/ or apps/itineraries/","Create Itinerary model in apps/core/ or apps/itineraries/","","To Do","High","itinerary planning backend mvp"
"118","116","Sub-task","US-07-BE.2: Create and run migrations","Create and run migrations","","To Do","High","itinerary planning backend mvp"
"119","116","Sub-task","US-07-BE.3: Register Itinerary in Django admin","Register Itinerary in Django admin","","To Do","High","itinerary planning backend mvp"
"120","116","Sub-task","US-07-BE.4: Create ItineraryType GraphQL type","Create ItineraryType GraphQL type","","To Do","High","itinerary planning backend mvp"
"121","116","Sub-task","US-07-BE.5: Create createItinerary mutation","Create createItinerary mutation","","To Do","High","itinerary planning backend mvp"
"122","116","Sub-task","US-07-BE.6: Create getItineraries query","Create getItineraries query","","To Do","High","itinerary planning backend mvp"
"123","116","Sub-task","US-07-BE.7: Add input validation (title required, dates)","Add input validation (title required, dates)","","To Do","High","itinerary planning backend mvp"
"124","116","Sub-task","US-07-BE.8: Write pytest unit tests","Write pytest unit tests","","To Do","High","itinerary planning backend mvp"
"125","","Story","[FE] Manage Itinerary Items","As a user, I want to add/edit itinerary entries so I can structure my trip.

This ticket covers the frontend implementation of managing itinerary items - adding, editing, and deleting entries within an itinerary.","- User can add an item to an itinerary
- User can edit an existing itinerary item
- User can delete an itinerary item
- Changes persist after app restart
- Itinerary detail shows list of items
- Loading states during CRUD operations","To Do","High","itinerary planning mvp"
"126","125","Sub-task","US-08.1: Define ItineraryItem type/interface in graphql/types.ts","Define ItineraryItem type/interface in graphql/types.ts","","To Do","High","itinerary planning mvp"
"127","125","Sub-task","US-08.2: Create ADD_ITINERARY_ITEM mutation","Create ADD_ITINERARY_ITEM mutation","","To Do","High","itinerary planning mvp"
"128","125","Sub-task","US-08.3: Create UPDATE_ITINERARY_ITEM mutation","Create UPDATE_ITINERARY_ITEM mutation","","To Do","High","itinerary planning mvp"
"129","125","Sub-task","US-08.4: Create DELETE_ITINERARY_ITEM mutation","Create DELETE_ITINERARY_ITEM mutation","","To Do","High","itinerary planning mvp"
"130","125","Sub-task","US-08.5: Create useItineraryItems hook (CRUD operations)","Create useItineraryItems hook (CRUD operations)","","To Do","High","itinerary planning mvp"
"131","125","Sub-task","US-08.6: Create ItineraryDetail screen (screens/Itineraries/ItineraryDetail.tsx)","Create ItineraryDetail screen (screens/Itineraries/ItineraryDetail.tsx)","","To Do","High","itinerary planning mvp"
"132","125","Sub-task","US-08.7: Create AddItineraryItem form/modal","Create AddItineraryItem form/modal","","To Do","High","itinerary planning mvp"
"133","125","Sub-task","US-08.8: Create EditItineraryItem form/modal","Create EditItineraryItem form/modal","","To Do","High","itinerary planning mvp"
"134","125","Sub-task","US-08.9: Implement delete confirmation dialog","Implement delete confirmation dialog","","To Do","High","itinerary planning mvp"
"135","125","Sub-task","US-08.10: Add optimistic UI updates for instant feedback","Add optimistic UI updates for instant feedback","","To Do","High","itinerary planning mvp"
"136","125","Sub-task","US-08.11: Write unit tests for CRUD operations","Write unit tests for CRUD operations","","To Do","High","itinerary planning mvp"
"137","","Story","[BE] Manage Itinerary Items API","As a backend service, I need to provide API endpoints for managing itinerary items so that users can structure their trip plans.","- ItineraryItem model created with required fields
- addItineraryItem mutation creates item in user's itinerary
- updateItineraryItem mutation updates existing item
- deleteItineraryItem mutation removes item
- getItinerary query includes items
- Authorization: user can only modify own itinerary items
- All endpoints require authentication","To Do","High","itinerary planning backend mvp"
"138","137","Sub-task","US-08-BE.1: Create ItineraryItem model (itinerary FK, event FK nullable, fields)","Create ItineraryItem model (itinerary FK, event FK nullable, fields)","","To Do","High","itinerary planning backend mvp"
"139","137","Sub-task","US-08-BE.2: Create and run migrations","Create and run migrations","","To Do","High","itinerary planning backend mvp"
"140","137","Sub-task","US-08-BE.3: Register ItineraryItem in Django admin (inline on Itinerary)","Register ItineraryItem in Django admin (inline on Itinerary)","","To Do","High","itinerary planning backend mvp"
"141","137","Sub-task","US-08-BE.4: Create ItineraryItemType GraphQL type","Create ItineraryItemType GraphQL type","","To Do","High","itinerary planning backend mvp"
"142","137","Sub-task","US-08-BE.5: Create addItineraryItem mutation","Create addItineraryItem mutation","","To Do","High","itinerary planning backend mvp"
"143","137","Sub-task","US-08-BE.6: Create updateItineraryItem mutation","Create updateItineraryItem mutation","","To Do","High","itinerary planning backend mvp"
"144","137","Sub-task","US-08-BE.7: Create deleteItineraryItem mutation","Create deleteItineraryItem mutation","","To Do","High","itinerary planning backend mvp"
"145","137","Sub-task","US-08-BE.8: Add items field to ItineraryType (resolve items)","Add items field to ItineraryType (resolve items)","","To Do","High","itinerary planning backend mvp"
"146","137","Sub-task","US-08-BE.9: Add authorization checks (user owns itinerary)","Add authorization checks (user owns itinerary)","","To Do","High","itinerary planning backend mvp"
"147","137","Sub-task","US-08-BE.10: Write pytest unit tests","Write pytest unit tests","","To Do","High","itinerary planning backend mvp"
"148","","Story","[FE] Attach Events to Itinerary","As a user, I want to add saved events to my itinerary so I can combine discovery and planning.

This ticket covers the frontend implementation of attaching saved events to itineraries, bridging the event discovery and trip planning features.","- User can select from saved events when adding to itinerary
- Selected event is added to itinerary view
- Event details (title, date, location) auto-populate
- User can remove event from itinerary
- Removing from itinerary does NOT unsave the event
- Visual indication that item is linked to event","To Do","High","itinerary events planning mvp"
"149","148","Sub-task","US-09.1: Create SavedEventsPicker component (modal/screen)","Create SavedEventsPicker component (modal/screen)","","To Do","High","itinerary events planning mvp"
"150","148","Sub-task","US-09.2: Add 'Add to Itinerary' action on SavedEvents screen","Add 'Add to Itinerary' action on SavedEvents screen","","To Do","High","itinerary events planning mvp"
"151","148","Sub-task","US-09.3: Add 'Add from Saved Events' option in AddItineraryItem","Add 'Add from Saved Events' option in AddItineraryItem","","To Do","High","itinerary events planning mvp"
"152","148","Sub-task","US-09.4: Create itinerary selection modal (when adding from SavedEvents)","Create itinerary selection modal (when adding from SavedEvents)","","To Do","High","itinerary events planning mvp"
"153","148","Sub-task","US-09.5: Auto-populate ItineraryItem fields from Event data","Auto-populate ItineraryItem fields from Event data","","To Do","High","itinerary events planning mvp"
"154","148","Sub-task","US-09.6: Add visual indicator for event-linked items","Add visual indicator for event-linked items","","To Do","High","itinerary events planning mvp"
"155","148","Sub-task","US-09.7: Implement remove event from itinerary (unlink)","Implement remove event from itinerary (unlink)","","To Do","High","itinerary events planning mvp"
"156","148","Sub-task","US-09.8: Update Apollo cache after attach/remove","Update Apollo cache after attach/remove","","To Do","High","itinerary events planning mvp"
"157","148","Sub-task","US-09.9: Write unit tests for attach flow","Write unit tests for attach flow","","To Do","High","itinerary events planning mvp"
"158","","Story","[BE] Attach Events to Itinerary API","As a backend service, I need to support linking saved events to itinerary items so that users can combine discovery and planning.

This ticket covers backend enhancements to support event-linked itinerary items, building on US-08-BE.","- addItineraryItem accepts optional event_id
- Event relationship validated (event exists, is active)
- getItinerary returns items with full Event data
- Deleted/inactive events handled gracefully
- User can add same event to multiple itineraries
- Event data resolved efficiently (no N+1)","To Do","High","itinerary events planning backend mvp"
"159","158","Sub-task","US-09-BE.1: Add event_id validation in addItineraryItem mutation","Add event_id validation in addItineraryItem mutation","","To Do","High","itinerary events planning backend mvp"
"160","158","Sub-task","US-09-BE.2: Verify event is active before linking","Verify event is active before linking","","To Do","High","itinerary events planning backend mvp"
"161","158","Sub-task","US-09-BE.3: Resolve Event relationship in ItineraryItemType","Resolve Event relationship in ItineraryItemType","","To Do","High","itinerary events planning backend mvp"
"162","158","Sub-task","US-09-BE.4: Handle deleted event gracefully (null or flag)","Handle deleted event gracefully (null or flag)","","To Do","High","itinerary events planning backend mvp"
"163","158","Sub-task","US-09-BE.5: Optimize query to prevent N+1 on event resolution","Optimize query to prevent N+1 on event resolution","","To Do","High","itinerary events planning backend mvp"
"164","158","Sub-task","US-09-BE.6: Add is_event_available computed field","Add is_event_available computed field","","To Do","High","itinerary events planning backend mvp"
"165","158","Sub-task","US-09-BE.7: Write pytest tests for event linking","Write pytest tests for event linking","","To Do","High","itinerary events planning backend mvp"
"166","","Story","[FE] View Itinerary Detail","As a user, I want to view my itinerary so I understand my schedule.

This ticket covers the frontend implementation of the itinerary detail view, displaying all items/events in a timeline or list format with navigation capabilities.","- Itinerary displays as timeline or list view
- All items/events are visible with key details
- Items show: title, time, location, notes preview
- User can navigate to item details
- User can navigate to linked event details
- Empty state when no items
- Loading state during fetch","To Do","High","itinerary planning mvp"
"167","166","Sub-task","US-10.1: Enhance ItineraryDetail screen with timeline/list layout","Enhance ItineraryDetail screen with timeline/list layout","","To Do","High","itinerary planning mvp"
"168","166","Sub-task","US-10.2: Group items by date (for multi-day itineraries)","Group items by date (for multi-day itineraries)","","To Do","High","itinerary planning mvp"
"169","166","Sub-task","US-10.3: Create ItineraryItemCard component","Create ItineraryItemCard component","","To Do","High","itinerary planning mvp"
"170","166","Sub-task","US-10.4: Display time/location/notes on each item","Display time/location/notes on each item","","To Do","High","itinerary planning mvp"
